alpha,rho,detection_mode,update_buffer,shadow_method,tau_s,tau_h,shadow_alpha,shadow_beta,kernel_opening_size,kernel_closing_size,morph_shape,morph_op,min_area,merge_dist,mAP
5.132529615821728,0.022617679137031468,gray,3,hsv,26,103,0.5962433846459415,0.880162453040212,3,9,ellipse,close,516,25,0.6111273755669743
5.436295668904998,0.023002217133765414,gray,3,hsv,25,101,0.5979335786917427,0.9391903088163767,3,7,ellipse,close,513,23,0.6144188466457372
5.5006141798587,0.02832476486588045,gray,3,hsv,26,101,0.5996063467934393,0.9207838612367761,3,9,ellipse,close,512,29,0.6202208106302688
5.46160587066459,0.020566587026248234,gray,3,hsv,26,101,0.5987157012409898,0.9205434796886268,3,9,ellipse,close,512,29,0.6036721848965055
5.423932533116061,0.020664512258821953,gray,3,hsv,22,101,0.6071920507018017,0.9447962679776375,3,11,ellipse,close,494,29,0.6018495933973276
5.578971905768738,0.029540153338616454,gray,4,hsv,22,99,0.6132102779057156,0.9470964418676799,3,11,ellipse,close,490,27,0.6077157567921909
4.859616955069842,0.027456998857289885,rgb,3,hsv,33,95,0.5708524088616701,0.9357747513283995,3,9,ellipse,open_close,481,27,0.46231316100516745
5.330551785209232,0.017104661720864056,rgb,2,hsv,35,94,0.568637282330614,0.9349909318832105,3,9,ellipse,open_close,567,18,0.5420430274444856
5.350076573193311,0.017358043786539892,gray,2,hsv,25,97,0.5554280872567523,0.9320659337817004,3,7,ellipse,open,574,31,0.6029817320503843
5.746623210840868,0.033152295913697574,gray,3,hsv,29,97,0.5456894658527581,0.9267908784865923,3,7,ellipse,close_open,508,31,0.596213736714875
5.681569989024178,0.023032840131960587,gray,3,hsv,26,106,0.5895352748466958,0.9185240615231963,3,9,ellipse,close,507,23,0.6215042355140284
5.5938584441761,0.024257057698847204,gray,3,hsv,26,104,0.5950053979878228,0.9063952921146765,3,9,ellipse,close,519,24,0.6133158552143104
5.613127751345793,0.012358462201626274,gray,3,hsv,23,106,0.6443681479965387,0.907057386991054,3,11,ellipse,close,544,23,0.5924656446113931
5.486779391903988,0.012464369555407683,gray,3,hsv,23,106,0.6460720914855048,0.9162183064006116,3,7,ellipse,close,541,21,0.5880395839551249
5.75820769583657,0.04140489830319394,gray,3,hsv,39,101,0.5789944240174162,0.9183447100161112,3,7,ellipse,close,529,21,0.6293044022973324
5.753633882599864,0.041305435276508866,gray,3,hsv,29,101,0.576399235423998,0.9418183937137625,3,7,ellipse,close,503,17,0.6270902577471678
5.9846867644156365,0.04365867471859219,gray,2,hsv,44,99,0.5736132080474108,0.9213178792182978,3,9,rect,close,553,17,0.6301052769472185
5.942257021888384,0.04239693015968842,gray,4,hsv,44,98,0.5760657502591982,0.9723723665842714,3,7,rect,close,467,16,0.6214616425339765
5.965371342573895,0.0468833685705351,gray,2,hsv,49,99,0.5167919102109648,0.9707742992460549,3,11,rect,close,559,16,0.6331475694078857
5.934843751415054,0.04355861969294457,gray,2,hsv,50,99,0.5232432862864326,0.9758297783810377,3,7,rect,close,472,16,0.5967845662302518
5.998774484839773,0.04570995016088891,gray,2,hsv,46,99,0.5305157284876906,0.9742268789012222,3,11,rect,close,558,16,0.6442093468511154
5.973494037128206,0.05026963873358958,gray,2,hsv,53,92,0.5416237721617685,0.9643132072378597,3,11,rect,close,556,15,0.6358003524673773
5.791058026499184,0.04995475005109105,gray,2,hsv,47,92,0.5010934403379033,0.9576663056278213,3,11,rect,close,558,14,0.6465374601420417
5.840008178302701,0.048945650174212076,gray,2,hsv,47,92,0.5152479049770529,0.9578091141505852,3,13,rect,close,586,12,0.649118502534264
5.795201604771547,0.04828271033135264,gray,2,hsv,53,93,0.5031837305963187,0.9599300632723546,3,13,rect,close,587,14,0.6495815598842677
5.995319207706133,0.04835648981895144,gray,2,hsv,47,92,0.5034507187853312,0.9656408951076949,3,13,rect,close,587,12,0.6439904067330455
5.991613776397182,0.04810953216103947,gray,2,hsv,53,92,0.500772136201605,0.9591112472592408,3,13,rect,close,587,13,0.6456588176976579
5.826966143819189,0.05142132150799707,gray,2,hsv,52,92,0.5007096967464577,0.9595757161940027,3,13,rect,close,587,12,0.6490876164025464
5.865296346240901,0.04970369952057799,gray,2,hsv,54,91,0.5000436372805445,0.9597916455408473,3,13,rect,close_open,590,12,0.6252692528450249
5.8057482495764985,0.049823586911358096,gray,2,hsv,54,92,0.5018081415556823,0.960019406182279,3,13,rect,close_open,588,12,0.6266915087639876
5.989034503447438,0.049462008796955344,gray,2,hsv,58,93,0.512150762536944,0.9835047714907572,3,13,rect,close,599,14,0.6476398218811464
5.9724736653795185,0.07004954001004683,gray,2,hsv,47,94,0.5133235740523702,0.9837632546930618,3,13,rect,close,599,14,0.6424751908952637
5.981452691821854,0.04721041131691226,gray,2,hsv,47,93,0.5136774545628645,0.9852159137466141,3,13,rect,close,599,14,0.6466394082553021
5.856000763207557,0.07276474837082579,gray,2,hsv,59,93,0.5358686167092267,0.9845016361771333,3,13,rect,close,598,14,0.6497383724604668
5.855426186690822,0.07290455949732078,gray,2,hsv,59,94,0.5121902735844557,0.9847158021227326,3,13,rect,open,600,14,0.6239056122303748
5.809602925797412,0.08927967582656834,gray,2,hsv,59,93,0.5107665297758963,0.9898175706554536,3,13,rect,open,579,13,0.5871570731724952
